"",studentID,collaborators,interaction,rule,error,application,derived,preState,postState,probDesc,probRules,hintGiven,certificate,scoreMP,scoreDS,scoreSIMP,scoreMT,scoreADD,scoreCONJ,scoreHS,scoreCD,scoreDN,scoreDEM,scoreIMPL,scoreCP,scoreEQUIV,scoreNULL,scoreCOM,scoreASSOC,scoreDIST,scoreABS,scoreEXP,scoreTAUT,scoreDEL,currPrb,action,representation,direction,proofDir,hintType,hintCount,stepTime,elTime,PPType,numInteractionCurr,numInteractionTotal,numAction1Curr,numAction2Curr,numAction3Curr,numAction4Curr,numAction5Curr,numAction6Curr,numAction7Curr,numAction8Curr,numAction9Curr,numAction10Curr,numAction1Total,numAction2Total,numAction3Total,numAction4Total,numAction5Total,numAction6Total,numAction7Total,numAction8Total,numAction9Total,numAction10Total,numProblemsCompleted,isForced,numAttempts,hasCollaborator,PLMP,PLDS,PLSIMP,PLMT,PLADD,PLCONJ,PLHS,PLCD,PLDN,PLDEM,PLIMPL,PLCP,PLEQUIV,PLNULL,PLCOM,PLASSOC,PLDIST,PLABS,PLEXP,PLTAUT,PLDEL,hintFollow,PPLevel,numCorrectMPCurr,numCorrectDSCurr,numCorrectSIMPCurr,numCorrectMTCurr,numCorrectADDCurr,numCorrectCONJCurr,numCorrectHSCurr,numCorrectCDCurr,numCorrectDNCurr,numCorrectDEMCurr,numCorrectIMPLCurr,numCorrectCPCurr,numCorrectEQUIVCurr,numCorrectNULLCurr,numCorrectCOMCurr,numCorrectASSOCCurr,numCorrectDISTCurr,numCorrectABSCurr,numCorrectEXPCurr,numCorrectTAUTCurr,numCorrectDELCurr,numCorrectMPTotal,numCorrectDSTotal,numCorrectSIMPTotal,numCorrectMTTotal,numCorrectADDTotal,numCorrectCONJTotal,numCorrectHSTotal,numCorrectCDTotal,numCorrectDNTotal,numCorrectDEMTotal,numCorrectIMPLTotal,numCorrectCPTotal,numCorrectEQUIVTotal,numCorrectNULLTotal,numCorrectCOMTotal,numCorrectASSOCTotal,numCorrectDISTTotal,numCorrectABSTotal,numCorrectEXPTotal,numCorrectTAUTTotal,numCorrectDELTotal,numWrongMPCurr,numWrongDSCurr,numWrongSIMPCurr,numWrongMTCurr,numWrongADDCurr,numWrongCONJCurr,numWrongHSCurr,numWrongCDCurr,numWrongDNCurr,numWrongDEMCurr,numWrongIMPLCurr,numWrongCPCurr,numWrongEQUIVCurr,numWrongNULLCurr,numWrongCOMCurr,numWrongASSOCCurr,numWrongDISTCurr,numWrongABSCurr,numWrongEXPCurr,numWrongTAUTCurr,numWrongDELCurr,numWrongMPTotal,numWrongDSTotal,numWrongSIMPTotal,numWrongMTTotal,numWrongADDTotal,numWrongCONJTotal,numWrongHSTotal,numWrongCDTotal,numWrongDNTotal,numWrongDEMTotal,numWrongIMPLTotal,numWrongCPTotal,numWrongEQUIVTotal,numWrongNULLTotal,numWrongCOMTotal,numWrongASSOCTotal,numWrongDISTTotal,numWrongABSTotal,numWrongEXPTotal,numWrongTAUTTotal,numWrongDELTotal,numMPCurr,numDSCurr,numSIMPCurr,numMTCurr,numADDCurr,numCONJCurr,numHSCurr,numCDCurr,numDNCurr,numDEMCurr,numIMPLCurr,numCPCurr,numEQUIVCurr,numNULLCurr,numCOMCurr,numASSOCCurr,numDISTCurr,numABSCurr,numEXPCurr,numTAUTCurr,numDELCurr,numMPTotal,numDSTotal,numSIMPTotal,numMTTotal,numADDTotal,numCONJTotal,numHSTotal,numCDTotal,numDNTotal,numDEMTotal,numIMPLTotal,numCPTotal,numEQUIVTotal,numNULLTotal,numCOMTotal,numASSOCTotal,numDISTTotal,numABSTotal,numEXPTotal,numTAUTTotal,numDELTotal,elTimeTotal,hintRequestedTutor,hintRequestedCurr,hintRequestedTotal,hintForcedTutor,hintForcedTotal,hintForcedCurr,hintFollowCurr,hintFollowTutor,hintFollowTotal,hintRequestedFollowCurr,hintRequestedFollowTotal,hintRequestedFollowTutor,hintForcedFollowCurr,hintForcedFollowTotal,hintForcedFollowTutor,hintFollowRateCurr,hintFollowRateTotal,hintFollowRateTutor,hintForcedFollowRateCurr,hintForcedFollowRateTotal,hintForcedFollowRateTutor,hintRequestedFollowRateCurr,hintRequestedFollowRateTotal,hintRequestedFollowRateTutor,currLvl,numCorrectRuleAppCurr,numCorrectRuleAppTotal,numCorrectRuleAppTutor,numRuleAppTotal,numRuleAppTutor,numRuleAppCurr,numCorrectRuleAppRateCurr,numCorrectRuleAppRateTotal,numCorrectRuleAppRateTutor,elTimeTutor,stateChangedB4FollowHint,lvl1_timeCost,diffRulesApplied,diffNodesHighlighted,nodesDerived,numRestart,numDiffNodeInResult
22555,afalfais,,235,,0,null,null,"(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","B*(S+L),-U>-L,-U/S","SIMP,MP,DS",Try to derive -L working forward.,,0.8043510351856377;0.01;0.3;0.1,0.6782115184240229;0.01;0.3;0.1,0.03919698071011089;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.8008310629746335;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.4.0,10,1,0,0,2,1,16.674,17.868,0,3,14,0,0,0,0,0,0,0,0,0,3,0,0,6,0,1,0,0,0,0,7,0,0,5,0,0.8043510351856377,0.6782115184240229,0.03919698071011089,0.01134092219020173,0.8008310629746335,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,168.156,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1,0,0,0,1,1,0,NaN,0.0,0.0,168.156,NA,NA,NA,NA,NA,NA,NA
37809,afalfais,,245,,0,null,null,"(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","B*(S+L),-U>-L,-U/S","SIMP,MP,DS",Try to derive -L working forward.,,0.8043510351856377;0.01;0.3;0.1,0.6782115184240229;0.01;0.3;0.1,0.03919698071011089;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.8008310629746335;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.4.0,10,0,0,0,2,1,29.822,47.69,0,4,15,0,0,0,0,0,0,0,0,0,4,0,0,6,0,1,0,0,0,0,8,0,0,5,0,0.8043510351856377,0.6782115184240229,0.03919698071011089,0.01134092219020173,0.8008310629746335,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,197.978,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,1,0,0,0,1,1,0,NaN,0.0,0.0,197.978,NA,NA,NA,NA,NA,NA,NA
9660,afalfais,,69,get,0,null,null,"(A>(B*C))[1;0;Given],(A+D)[2;0;Given],(-D*E)[3;0;Given],-D[4;3;Simplification]/B","(A>(B*C))[1;0;Given],(A+D)[2;0;Given],(-D*E)[3;0;Given],-D[4;3;Simplification]/B","A>(B*C),A+D,-D*E/B","SIMP,DS,MP",Try to derive A working forward.,,0.11894558200282176;0.01;0.3;0.1,0.11894558200282176;0.01;0.3;0.1,0.9175072143465002;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.1.0,7,0,0,0,2,1,4.164999999999964,387.979,0,45,45,7,6,9,13,4,0,6,0,0,0,7,6,9,13,4,0,6,0,0,0,0,1,1,0,0.11894558200282176,0.11894558200282176,0.9175072143465002,0.01134092219020173,0.01,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,387.979,1,1,1,2,0,0,1,1,1,1,1,1,0,0,0,1.0,1.0,0.3333333333333333,NaN,NaN,0.0,1.0,1.0,1.0,1,1,1,1,4,5,4,0.25,0.25,0.2,387.979,1,36.977,1,2,1,0,1
9667,afalfais,,76,get,0,null,null,"(A>(B*C))[1;0;Given],(A+D)[2;0;Given],(-D*E)[3;0;Given],-D[4;3;Simplification],A[5;2,4;Disjunctive Syllogism]/B","(A>(B*C))[1;0;Given],(A+D)[2;0;Given],(-D*E)[3;0;Given],-D[4;3;Simplification],A[5;2,4;Disjunctive Syllogism]/B","A>(B*C),A+D,-D*E/B","SIMP,DS,MP",Try to derive B*C working forward.,,0.11894558200282176;0.01;0.3;0.1,0.29707235295950235;0.01;0.3;0.1,0.9175072143465002;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.1.0,7,0,0,0,2,1,2.6510000000000105,427.607,0,51,51,9,6,10,13,4,0,9,0,0,0,9,6,10,13,4,0,9,0,0,0,0,1,1,0,0.11894558200282176,0.29707235295950235,0.9175072143465002,0.01134092219020173,0.01,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,427.607,2,2,2,2,0,0,2,2,2,2,2,2,0,0,0,1.0,1.0,0.5,NaN,NaN,0.0,1.0,1.0,1.0,1,2,2,2,5,6,5,0.4,0.4,0.3333333333333333,427.607,1,32.887,2,2,1,0,1
9677,afalfais,,86,get,0,null,null,"(A>(B*C))[1;0;Given],(A+D)[2;0;Given],(-D*E)[3;0;Given],-D[4;3;Simplification],A[5;2,4;Disjunctive Syllogism],(B*C)[6;1,5;Modus Ponens]/B","(A>(B*C))[1;0;Given],(A+D)[2;0;Given],(-D*E)[3;0;Given],-D[4;3;Simplification],A[5;2,4;Disjunctive Syllogism],(B*C)[6;1,5;Modus Ponens]/B","A>(B*C),A+D,-D*E/B","SIMP,DS,MP",Try to derive B working forward.,,0.09911719300027964;0.01;0.3;0.1,0.29707235295950235;0.01;0.3;0.1,0.9175072143465002;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.1.0,7,0,0,0,2,1,2.100999999999999,462.595,0,61,61,11,6,14,13,4,0,13,0,0,0,11,6,14,13,4,0,13,0,0,0,0,1,1,0,0.09911719300027964,0.29707235295950235,0.9175072143465002,0.01134092219020173,0.01,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,462.595,3,3,3,2,0,0,3,3,3,3,3,3,0,0,0,1.0,1.0,0.6,NaN,NaN,0.0,1.0,1.0,1.0,1,3,3,3,6,7,6,0.5,0.5,0.42857142857142855,462.595,1,26.038,1,1,1,0,1
9690,afalfais,,99,(B*(S+L)),0,null,null,"(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","B*(S+L),-U>-L,-U/S","SIMP,MP,DS",Try to derive -L working forward.,,0.09911719300027964;0.01;0.3;0.1,0.29707235295950235;0.01;0.3;0.1,0.909938304844389;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.2.0,1,0,0,0,2,1,20.456,20.456,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.09911719300027964,0.29707235295950235,0.909938304844389,0.01134092219020173,0.01,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.456,3,0,0,3,1,1,1,4,1,0,0,3,1,1,1,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,NaN,NaN,1.0,1,0,0,4,0,9,0,NaN,NaN,0.4444444444444444,20.456,1,48.286,2,3,1,0,1
9706,afalfais,,115,get,0,null,null,"(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given],-L[4;2,3;Modus Ponens]/S","(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given],-L[4;2,3;Modus Ponens]/S","B*(S+L),-U>-L,-U/S","SIMP,MP,DS",Try to derive S+L working forward.,,0.1213571410220821;0.01;0.3;0.1,0.29707235295950235;0.01;0.3;0.1,0.909938304844389;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.2.0,7,0,0,0,2,1,2.4350000000000023,71.177,0,16,16,4,2,3,0,1,0,6,0,0,0,4,2,3,0,1,0,6,0,0,0,1,1,1,0,0.1213571410220821,0.29707235295950235,0.909938304844389,0.01134092219020173,0.01,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.177,4,1,1,3,1,1,1,4,1,0,0,3,1,1,1,0.5,0.5,0.5714285714285714,1.0,1.0,0.3333333333333333,0.0,0.0,0.75,1,2,2,6,3,12,3,0.6666666666666666,0.6666666666666666,0.5,71.177,NA,NA,NA,NA,NA,NA,NA
9784,afalfais,,193,(B*(S+L)),0,null,null,"(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","B*(S+L),-U>-L,-U/S","SIMP,MP,DS",Try to derive -L working forward.,,0.571530116278774;0.01;0.3;0.1,0.6782115184240229;0.01;0.3;0.1,0.15746988705060014;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.8008310629746335;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.2.0,1,0,0,0,2,1,4.743,10.893,0,2,46,1,0,0,0,0,0,0,0,0,1,12,5,15,0,3,0,10,0,0,1,1,0,2,0,0.571530116278774,0.6782115184240229,0.15746988705060014,0.01134092219020173,0.8008310629746335,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.859,4,0,1,4,2,1,1,5,2,0,0,3,1,2,2,1.0,0.6666666666666666,0.625,1.0,1.0,0.5,NaN,0.0,0.75,1,0,10,14,13,22,0,NaN,0.7692307692307693,0.6363636363636364,575.859,1,14.678,1,3,1,0,1
9791,afalfais,,200,get,0,null,null,"(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given],-L[4;2,3;Modus Ponens]/S","(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given],-L[4;2,3;Modus Ponens]/S","B*(S+L),-U>-L,-U/S","SIMP,MP,DS",Try to derive S+L working forward.,,0.8043510351856377;0.01;0.3;0.1,0.6782115184240229;0.01;0.3;0.1,0.15746988705060014;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.8008310629746335;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.2.0,7,0,0,0,2,1,4.061999999999998,29.633,0,9,53,3,1,1,0,0,0,3,0,0,1,14,6,16,0,3,0,13,0,0,1,1,1,2,0,0.8043510351856377,0.6782115184240229,0.15746988705060014,0.01134092219020173,0.8008310629746335,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.599,5,1,2,4,2,1,1,5,2,0,0,3,1,2,2,0.5,0.5,0.5555555555555556,1.0,1.0,0.5,0.0,0.0,0.6,1,1,11,15,14,23,1,1.0,0.7857142857142857,0.6521739130434783,594.599,NA,NA,NA,NA,NA,NA,NA
22559,afalfais,,239,get,0,null,null,"(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","(B*(S+L))[1;0;Given],(-U>-L)[2;0;Given],-U[3;0;Given]/S","B*(S+L),-U>-L,-U/S","SIMP,MP,DS",Try to derive -L working forward.,,0.8043510351856377;0.01;0.3;0.1,0.6782115184240229;0.01;0.3;0.1,0.03919698071011089;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.8008310629746335;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.011550629562378446;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01134092219020173;0.01;0.3;0.1,0.01;0.01;0.3;0.1,0.01;0.01;0.3;0.1,1.0.2.0,7,1,0,0,2,1,3.0020000000000002,5.897,0,2,67,0,0,0,0,0,0,1,0,0,1,15,6,19,0,4,0,17,0,0,6,1,1,6,0,0.8043510351856377,0.6782115184240229,0.03919698071011089,0.01134092219020173,0.8008310629746335,0.01,0.011550629562378446,0.01,0.01134092219020173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01134092219020173,0.01,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657.452,6,1,3,4,2,0,1,6,3,1,1,4,0,2,2,1.0,0.6,0.6,NaN,1.0,0.5,1.0,0.3333333333333333,0.6666666666666666,1,0,13,17,17,26,0,NaN,0.7647058823529411,0.6538461538461539,657.452,1,32.104,1,2,1,0,1
