action,representation,direction,proofDir,hintType,hintCount,stepTime,elTime,PPType,numInteractionCurr,numInteractionTotal,numAction1Curr,numAction2Curr,numAction3Curr,numAction4Curr,numAction5Curr,numAction6Curr,numAction7Curr,numAction8Curr,numAction9Curr,numAction10Curr,numAction1Total,numAction2Total,numAction3Total,numAction4Total,numAction5Total,numAction6Total,numAction7Total,numAction8Total,numAction9Total,numAction10Total,numProblemsCompleted,isForced,numAttempts,hasCollaborator,PLMP,PLDS,PLSIMP,PLMT,PLADD,PLCONJ,PLHS,PLCD,PLDN,PLDEM,PLIMPL,PLCP,PLEQUIV,PLNULL,PLCOM,PLASSOC,PLDIST,PLABS,PLEXP,PLTAUT,PLDEL,PPLevel,numCorrectMPCurr,numCorrectDSCurr,numCorrectSIMPCurr,numCorrectMTCurr,numCorrectADDCurr,numCorrectCONJCurr,numCorrectHSCurr,numCorrectCDCurr,numCorrectDNCurr,numCorrectDEMCurr,numCorrectIMPLCurr,numCorrectCPCurr,numCorrectEQUIVCurr,numCorrectNULLCurr,numCorrectCOMCurr,numCorrectASSOCCurr,numCorrectDISTCurr,numCorrectABSCurr,numCorrectEXPCurr,numCorrectTAUTCurr,numCorrectDELCurr,numCorrectMPTotal,numCorrectDSTotal,numCorrectSIMPTotal,numCorrectMTTotal,numCorrectADDTotal,numCorrectCONJTotal,numCorrectHSTotal,numCorrectCDTotal,numCorrectDNTotal,numCorrectDEMTotal,numCorrectIMPLTotal,numCorrectCPTotal,numCorrectEQUIVTotal,numCorrectNULLTotal,numCorrectCOMTotal,numCorrectASSOCTotal,numCorrectDISTTotal,numCorrectABSTotal,numCorrectEXPTotal,numCorrectTAUTTotal,numCorrectDELTotal,numWrongMPCurr,numWrongDSCurr,numWrongSIMPCurr,numWrongMTCurr,numWrongADDCurr,numWrongCONJCurr,numWrongHSCurr,numWrongCDCurr,numWrongDNCurr,numWrongDEMCurr,numWrongIMPLCurr,numWrongCPCurr,numWrongEQUIVCurr,numWrongNULLCurr,numWrongCOMCurr,numWrongASSOCCurr,numWrongDISTCurr,numWrongABSCurr,numWrongEXPCurr,numWrongTAUTCurr,numWrongDELCurr,numWrongMPTotal,numWrongDSTotal,numWrongSIMPTotal,numWrongMTTotal,numWrongADDTotal,numWrongCONJTotal,numWrongHSTotal,numWrongCDTotal,numWrongDNTotal,numWrongDEMTotal,numWrongIMPLTotal,numWrongCPTotal,numWrongEQUIVTotal,numWrongNULLTotal,numWrongCOMTotal,numWrongASSOCTotal,numWrongDISTTotal,numWrongABSTotal,numWrongEXPTotal,numWrongTAUTTotal,numWrongDELTotal,numMPCurr,numDSCurr,numSIMPCurr,numMTCurr,numADDCurr,numCONJCurr,numHSCurr,numCDCurr,numDNCurr,numDEMCurr,numIMPLCurr,numCPCurr,numEQUIVCurr,numNULLCurr,numCOMCurr,numASSOCCurr,numDISTCurr,numABSCurr,numEXPCurr,numTAUTCurr,numDELCurr,numMPTotal,numDSTotal,numSIMPTotal,numMTTotal,numADDTotal,numCONJTotal,numHSTotal,numCDTotal,numDNTotal,numDEMTotal,numIMPLTotal,numCPTotal,numEQUIVTotal,numNULLTotal,numCOMTotal,numASSOCTotal,numDISTTotal,numABSTotal,numEXPTotal,numTAUTTotal,numDELTotal,elTimeTotal,hintRequestedTutor,hintRequestedCurr,hintRequestedTotal,hintForcedTutor,hintForcedTotal,hintForcedCurr,hintFollowCurr,hintFollowTutor,hintFollowTotal,hintRequestedFollowCurr,hintRequestedFollowTotal,hintRequestedFollowTutor,hintForcedFollowCurr,hintForcedFollowTotal,hintForcedFollowTutor,hintFollowRateCurr,hintFollowRateTotal,hintFollowRateTutor,hintForcedFollowRateCurr,hintForcedFollowRateTotal,hintForcedFollowRateTutor,hintRequestedFollowRateCurr,hintRequestedFollowRateTotal,hintRequestedFollowRateTutor,currLvl,numCorrectRuleAppCurr,numCorrectRuleAppTotal,numCorrectRuleAppTutor,numRuleAppTotal,numRuleAppTutor,numRuleAppCurr,numCorrectRuleAppRateCurr,numCorrectRuleAppRateTotal,numCorrectRuleAppRateTutor,elTimeTutor,stateChangedB4FollowHint,lvl1_timeCost,diffRulesApplied,diffNodesHighlighted,nodesDerived,numRestart,numDiffNodeInResult,hintCorrectness,scoreHintedRule,PLHintedRule,numCorrectHintedRuleCurr,numCorrectHintedRuleTotal,numWrongHintedRuleTotal,numWrongHintedRuleCurr,numHintedRuleCurr,numHintedRuleTotal,accuracyHintedRuleCurr,accuracyHintedRuleTotal,prevActionTime,prevAction,prevRuleAppCorrectness,prevRuleTime,prevStateChangeTime,hintFollow
10,1,0,0,2,1,16.674,17.868,0,3,14,0,0,0,0,0,0,0,0,0,3,0,0,6,0,1,0,0,0,0,7,0,0,5,0,0.804351035,0.678211518,0.039196981,0.011340922,0.800831063,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,168.156,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,NA,0,0,168.156,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.619,-1,NA,NA,17.619,0
10,0,0,0,2,1,29.822,47.69,0,4,15,0,0,0,0,0,0,0,0,0,4,0,0,6,0,1,0,0,0,0,8,0,0,5,0,0.804351035,0.678211518,0.039196981,0.011340922,0.800831063,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,197.978,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,NA,0,0,197.978,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45572.672,-1,NA,NA,47.552,0
7,0,0,0,2,1,4.165,387.979,0,45,45,7,6,9,13,4,0,6,0,0,0,7,6,9,13,4,0,6,0,0,0,0,1,1,0,0.118945582,0.118945582,0.917507214,0.011340922,0.01,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,387.979,1,1,1,2,0,0,1,1,1,1,1,1,0,0,0,1,1,0.333333333,NA,NA,0,1,1,1,1,1,1,1,4,5,4,0.25,0.25,0.2,387.979,1,36.977,1,2,1,0,1,1,37,0.118945582,0,0,0,0,0,0,NA,NA,4.165,5,1,4.165,4.165,1
7,0,0,0,2,1,2.651,427.607,0,51,51,9,6,10,13,4,0,9,0,0,0,9,6,10,13,4,0,9,0,0,0,0,1,1,0,0.118945582,0.297072353,0.917507214,0.011340922,0.01,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,427.607,2,2,2,2,0,0,2,2,2,2,2,2,0,0,0,1,1,0.5,NA,NA,0,1,1,1,1,2,2,2,5,6,5,0.4,0.4,0.333333333,427.607,1,32.887,2,2,1,0,1,1,21,0.118945582,0,0,0,0,0,0,NA,NA,2.651,3,1,2.651,2.651,1
7,0,0,0,2,1,2.101,462.595,0,61,61,11,6,14,13,4,0,13,0,0,0,11,6,14,13,4,0,13,0,0,0,0,1,1,0,0.099117193,0.297072353,0.917507214,0.011340922,0.01,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,462.595,3,3,3,2,0,0,3,3,3,3,3,3,0,0,0,1,1,0.6,NA,NA,0,1,1,1,1,3,3,3,6,7,6,0.5,0.5,0.428571429,462.595,1,26.038,1,1,1,0,1,1,87,0.917507214,1,1,1,1,2,2,0.5,0.5,2.101,3,1,2.101,2.101,1
1,0,0,0,2,1,20.456,20.456,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.099117193,0.297072353,0.909938305,0.011340922,0.01,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.456,3,0,0,3,1,1,1,4,1,0,0,3,1,1,1,1,1,0.666666667,1,1,0.333333333,NA,NA,1,1,0,0,4,0,9,0,NA,NA,0.444444444,20.456,1,48.286,2,3,1,0,1,1,17,0.099117193,0,0,0,0,0,0,NA,NA,19.709,-1,NA,NA,19.709,1
7,0,0,0,2,1,2.435,71.177,0,16,16,4,2,3,0,1,0,6,0,0,0,4,2,3,0,1,0,6,0,0,0,1,1,1,0,0.121357141,0.297072353,0.909938305,0.011340922,0.01,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.177,4,1,1,3,1,1,1,4,1,0,0,3,1,1,1,0.5,0.5,0.571428571,1,1,0.333333333,0,0,0.75,1,2,2,6,3,12,3,0.666666667,0.666666667,0.5,71.177,NA,NA,NA,NA,NA,NA,NA,1,86,0.909938305,0,0,0,0,0,0,NA,NA,2.435,3,1,2.435,2.435,0
1,0,0,0,2,1,4.743,10.893,0,2,46,1,0,0,0,0,0,0,0,0,1,12,5,15,0,3,0,10,0,0,1,1,0,2,0,0.571530116,0.678211518,0.157469887,0.011340922,0.800831063,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.859,4,0,1,4,2,1,1,5,2,0,0,3,1,2,2,1,0.666666667,0.625,1,1,0.5,NA,0,0.75,1,0,10,14,13,22,0,NA,0.769230769,0.636363636,575.859,1,14.678,1,3,1,0,1,1,58,0.571530116,0,2,0,1,0,3,NA,0.666666667,10.355,-1,NA,NA,10.355,1
7,1,0,0,2,1,3.002,5.897,0,2,67,0,0,0,0,0,0,1,0,0,1,15,6,19,0,4,0,17,0,0,6,1,1,6,0,0.804351035,0.678211518,0.039196981,0.011340922,0.800831063,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657.452,6,1,3,4,2,0,1,6,3,1,1,4,0,2,2,1,0.6,0.6,NA,1,0.5,1,0.333333333,0.666666667,1,0,13,17,17,26,0,NA,0.764705882,0.653846154,657.452,1,32.104,1,2,1,0,1,1,77,0.804351035,0,3,0,1,0,4,NA,0.75,5.546,-1,NA,NA,5.546,1
7,0,0,0,2,1,6.153,158.398,0,25,90,3,0,3,8,1,0,9,0,0,1,18,6,22,8,5,0,25,0,0,6,1,1,6,0,0.926957904,0.678211518,0.08738577,0.011340922,0.800831063,0.01,0.01155063,0.01,0.011340922,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011340922,0.01,0.01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809.953,8,3,5,4,2,0,1,6,3,1,1,4,0,2,2,0.333333333,0.428571429,0.5,NA,1,0.5,0.333333333,0.2,0.5,1,3,16,20,20,29,3,1,0.8,0.689655172,809.953,NA,NA,NA,NA,NA,NA,NA,1,41,0.08738577,2,12,0,4,2,16,1,0.75,6.153,5,1,6.153,6.153,0
