studentID,collaborators,rule,hintGiven,certificate,currPrb,interaction,direction,proofDir,action,hintType,hintCount,stepTime,elTime,PPType,numInteractionCurr,numInteractionTotal,numAction1Curr,numAction2Curr,numAction3Curr,numAction4Curr,numAction5Curr,numAction6Curr,numAction7Curr,numAction8Curr,numAction9Curr,numAction10Curr,numAction1Total,numAction2Total,numAction3Total,numAction4Total,numAction5Total,numAction6Total,numAction7Total,numAction8Total,numAction9Total,numAction10Total,numProblemsCompleted,isForced,numAttempts,hintFollow
emalhajj,,login,,,1.0.1.0,1,0,0,0,0,0,0.012,0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,
rfgoodni,,login,,,1.0.1.0,1,0,0,0,0,0,0.034,0.034,0,,,,,,,,,,,,,,,,,,,,,,,,,,
msmith7,,login,,,1.0.1.0,1,0,0,0,0,0,0.076,0.076,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,login,,,1.0.1.0,1,0,0,0,0,0,0.612,0.612,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,,,,1.0.3.0,40,1,0,9,3,1,67.24,648.698,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,get,Try to derive -W,,1.0.3.0,50,1,0,7,3,2,25.756,143.154,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,get,Try to derive -W,,1.0.3.0,51,1,0,7,3,3,0.848,144.002,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,get,Try to derive -W,,1.0.3.0,52,1,0,7,3,4,5.96,149.962,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,get,Try to derive -W,,1.0.3.0,53,1,0,7,3,5,1.077,151.039,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,,,,1.0.3.0,54,1,0,8,3,5,6.463,157.502,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,--R,,,1.0.3.0,69,0,1,1,3,1,1.821,136.598,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,DN,,,1.0.3.0,70,0,1,3,3,1,2.708,139.306,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,DN,,,1.0.3.0,71,0,1,5,3,0,7.783,147.089,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,,Try to derive -W,,1.0.3.0,72,0,1,8,3,1,127.192,274.281,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,,,,1.0.3.0,77,0,0,8,3,0,2.422,15.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,--R,,,1.0.3.0,79,0,1,1,3,0,11.859,12.503,0,,,,,,,,,,,,,,,,,,,,,,,,,,
mbkilroy,,DN,,,1.0.3.0,80,0,1,3,3,0,3.06,15.563,0,,,,,,,,,,,,,,,,,,,,,,,,,,
