studentID,collaborators,rule,hintGiven,certificate,currPrb,interaction,direction,proofDir,action,hintType,hintCount,stepTime,elTime,PPType,numInteractionCurr,numInteractionTotal,numAction1Curr,numAction2Curr,numAction3Curr,numAction4Curr,numAction5Curr,numAction6Curr,numAction7Curr,numAction8Curr,numAction9Curr,numAction10Curr,numAction1Total,numAction2Total,numAction3Total,numAction4Total,numAction5Total,numAction6Total,numAction7Total,numAction8Total,numAction9Total,numAction10Total,numProblemsCompleted,isForced,numAttempts,hintFollow
gitopali,,(-U>-L),Try to derive -L,,1.0.2.0,28,0,0,1,3,1,15.232000000000001,30.913,0,5,5,3,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,1,1
gitopali,,(B*(S+L)),Try to derive (S+L),,1.0.2.0,37,0,0,1,3,1,157.93400000000003,207.728,0,10,10,5,3,2,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,1,1,1,1
gitopali,,((U>K)+(R*N)),Try to derive -O,,4.1.1.0,496,0,0,1,3,1,33.003,33.003,0,1,5,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,1,2,1
gitopali,,((R*N)>O),Try to derive (K>A),,4.1.1.0,513,0,0,1,3,1,15.588999999999999,142.166,0,9,13,4,1,2,0,2,0,0,0,0,0,6,3,2,0,2,0,0,0,0,0,4,1,2,0
gitopali,,(S+B),Try to derive -D>S,,6.1.1.0,749,0,0,1,3,1,20.372,20.372,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0
gitopali,,(-S>D),Try to derive -D>S,,6.1.1.0,757,0,0,1,3,1,17.201,57.674,27,7,7,4,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,1,1,0
gitopali,,(S>G),Try to derive -D>S,,6.1.1.0,761,0,0,1,3,1,1532.708,1604.54,27,10,10,5,0,4,0,1,0,0,0,0,0,5,0,4,0,1,0,0,0,0,0,6,1,1,0
gitopali,,(-S+G),Try to derive -D>S,,6.1.1.0,768,0,0,1,3,1,45.039999999999964,1786.37,27,14,14,7,0,6,0,1,0,0,0,0,0,7,0,6,0,1,0,0,0,0,0,6,1,1,0
gitopali,,((I*Q)>D),Try to derive I*Q,,3.-1.3.0,222,0,0,1,3,1,193.033,193.033,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1
gitopali,,((I*Q)>D),Try to derive I*Q,,3.-1.3.0,260,0,0,1,3,1,19.975000000000023,495.37,2,22,22,12,3,6,0,0,1,0,0,0,0,12,3,6,0,0,1,0,0,0,0,7,1,1,1
gitopali,,((A>-B)+C),Try to derive B>-A,,5.1.1.0,674,0,0,1,3,1,15.447,15.447,11,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,1,0
gitopali,,((-K+L)>(M*N)),Try to derive M*N,,2.-1.2.0,124,0,0,1,3,1,6521.3189999999995,6598.95,7,8,8,2,0,6,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,10,1,1,1
rmwalden,,get,Try to derive -W,,1.0.3.0,56,0,0,7,3,2,10.586000000000013,249.811,0,11,19,3,1,6,0,0,0,1,0,0,0,7,3,8,0,0,0,1,0,0,0,0,0,2,1
rmwalden,,(C*-F),Try to derive -D,,3.-1.2.0,167,0,0,1,3,1,40.104,40.104,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,1
rmwalden,,MP,Try to derive -D,,3.-1.2.0,172,0,0,3,3,0,18.037999999999997,69.809,2,5,5,2,0,2,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,5,1,1,1
rmwalden,,(S+B),Try to derive (-D>G),,6.1.1.0,751,0,0,1,3,1,398.883,398.883,-1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0
rmwalden,,(-S>B),Try to derive (-D>G),,6.1.1.0,753,0,0,1,3,1,24.197000000000003,424.424,-1,3,3,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,1,1,0
rmwalden,,get,Try to derive (-D>G),,6.1.1.0,768,0,0,7,3,1,10.509000000000015,479.273,-1,16,16,8,0,5,0,1,1,1,0,0,0,8,0,5,0,1,1,1,0,0,0,6,0,1,0
rmwalden,,((I*Q)>D),Try to derive (I*Q),,3.-1.3.0,182,0,0,1,3,1,333.078,333.078,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1
rmwalden,,DS,Try to derive (I*Q),,3.-1.3.0,188,0,0,3,3,0,7.637999999999977,350.78,2,4,4,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,7,1,1,1
rmwalden,,(S>Y),Try to derive S,,3.-1.3.0,189,0,0,1,3,1,18.66300000000001,369.443,2,5,5,3,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,7,1,1,0
rmwalden,,get,Try to derive S,,3.-1.3.0,193,0,0,7,3,1,5.272999999999968,377.328,2,7,7,3,0,2,0,0,1,1,0,0,0,3,0,2,0,0,1,1,0,0,0,7,0,1,0
rmwalden,,get,Try to derive S,,3.-1.3.0,194,0,0,7,3,2,5.761000000000024,383.089,2,8,8,3,0,2,0,0,1,2,0,0,0,3,0,2,0,0,1,2,0,0,0,7,0,1,0
rmwalden,,(S>Y),Try to derive S,,3.-1.3.0,207,0,0,1,3,1,23.115999999999985,436.041,2,14,14,6,0,5,0,0,1,2,0,0,0,6,0,5,0,0,1,2,0,0,0,7,1,1,0
