"","X..","lvl1Hint","studentID","currPrb","state","elTime","levelsPresented","lvl1HintFollowed","stateChangedB4FollowHint","lvl1_timeCost","diffRulesApplied","diffNodesHighlighted","nodesDerived","numRestart","numDiffNodeInResult"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","143.154",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"3",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","144.002",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","149.962",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","151.039",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","108.098",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","195.509",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"8",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","21.448",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","22.299",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","23.019",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"11",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","4.762",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","32.574",1,FALSE,NA,NA,NA,NA,NA,NA,NA
