studentID,interaction,numInteractionCurr,numInteractionTotal,representation,direction,proofDir,action,rule,numAction1Curr,numAction2Curr,numAction3Curr,numAction4Curr,numAction5Curr,numAction6Curr,numAction7Curr,numAction8Curr,numAction9Curr,numAction10Curr,numAction1Total,numAction2Total,numAction3Total,numAction4Total,numAction5Total,numAction6Total,numAction7Total,numAction8Total,numAction9Total,numAction10Total,currPrb,hintType,hintGiven,isForced,hintCount,stepTime,elTime,numProblemsCompleted,PPType,numAttempts,hintFollow
asgargan,15,,,1,0,0,1,(-D*E),,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,1,2.647,691.208,,0,,
asgargan,16,,,1,0,0,3,Simp,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,1,1.262,692.47,,0,,
asgargan,17,,,1,0,0,5,Simp,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,0,11.34,703.81,,0,,
asgargan,31,,,0,0,0,1,#NAME?,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,1,1.846,803.071,,0,,
asgargan,32,,,0,0,0,1,(A+D),,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,1,1.456,804.527,,0,,
asgargan,33,,,0,0,0,3,DS,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,0,1.895,806.422,,0,,
asgargan,41,,,0,0,0,1,(A>(B*C)),,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,1,2.254,865.805,,0,,
asgargan,42,,,0,0,0,1,A,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,1,1.193,866.998,,0,,
asgargan,44,,,0,0,0,3,MP,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,0,0.859,868.858,,0,,
asgargan,45,,,0,0,0,1,(B*C),,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,Try to derive B working forward.,,1,84.88,953.738,,0,,
asgargan,46,,,0,0,0,3,Simp,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,1,1.781,955.519,,0,,
asgargan,47,,,0,0,0,5,Simp,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,0,4.171,959.69,,0,,
asgargan,57,,,0,0,0,98,END,,,,,,,,,,,,,,,,,,,,,1.0.1.0,2,,,0,0.787,1001.15,,0,,
asgargan,58,,,0,0,0,0,next,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,0.003,1001.16,,0,,
asgargan,60,,,0,0,0,1,#NAME?,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,20.594,22.692,,0,,
asgargan,61,,,0,0,0,1,(-U>-L),,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,4.053,26.745,,0,,
asgargan,64,,,0,0,0,3,MP,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,0.904,33.221,,0,,
asgargan,70,,,1,0,0,1,(B*(S+L)),,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,1.894,118.921,,0,,
asgargan,71,,,1,0,0,1,#NAME?,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,1.402,120.323,,0,,
asgargan,72,,,1,0,0,3,DS,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,1.209,121.532,,0,,
asgargan,75,,,1,0,0,2,(B*(S+L)),,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,1.959,139.876,,0,,
asgargan,76,,,1,0,0,2,#NAME?,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,0.998,140.874,,0,,
asgargan,78,,,0,0,0,1,(B*(S+L)),,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,3.293,146.149,,0,,
asgargan,79,,,0,0,0,3,Simp,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,1.449,147.598,,0,,
asgargan,81,,,0,0,0,2,(B*(S+L)),,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,3.761,156.042,,0,,
asgargan,83,,,0,0,0,1,(B*(S+L)),,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,1.365,158.944,,0,,
asgargan,86,,,1,0,0,3,Simp,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,2.977,169.923,,0,,
asgargan,88,,,1,0,0,3,Simp,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,3.199,177.018,,0,,
asgargan,99,,,0,0,0,3,Simp,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,1,6.837,253.512,,0,,
asgargan,100,,,0,0,0,5,Simp,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,5.562,259.074,,0,,
asgargan,102,,,0,0,0,2,B,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,3.035,263.597,,0,,
asgargan,104,,,0,0,0,1,B,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,2.307,268.994,,0,,
asgargan,105,,,0,0,0,6,B,,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,1.957,270.951,,0,,
asgargan,106,,,0,0,0,1,(B*(S+L)),,,,,,,,,,,,,,,,,,,,,1.0.2.0,2,,,0,2.315,273.266,,0,,
