studentID,collaborators,interaction,numInteractionCurr,numInteractionTotal,direction,proofDir,action,rule,numAction1Curr,numAction2Curr,numAction3Curr,numAction4Curr,numAction5Curr,numAction6Curr,numAction7Curr,numAction8Curr,numAction9Curr,numAction10Curr,numAction1Total,numAction2Total,numAction3Total,numAction4Total,numAction5Total,numAction6Total,numAction7Total,numAction8Total,numAction9Total,numAction10Total,currPrb,hintType,hintGiven,isForced,hintCount,stepTime,elTime,certificate,numProblemsCompleted,PPType,numAttempts,hintFollow
gitopali,,28,5,5,0,0,1,(-U>-L),3,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1.0.2.0,3,Try to derive -L,1,1,15.232000000000001,30.913,,1,0,0,1
gitopali,,37,10,10,0,0,1,(B*(S+L)),5,3,2,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,1.0.2.0,3,Try to derive (S+L),1,1,157.93400000000003,207.728,,1,0,0,1
gitopali,,496,1,5,0,0,1,((U>K)+(R*N)),1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4.1.1.0,3,Try to derive -O,1,1,33.003,33.003,,4,0,1,1
gitopali,,513,9,13,0,0,1,((R*N)>O),4,1,2,0,2,0,0,0,0,0,6,3,2,0,2,0,0,0,0,0,4.1.1.0,3,Try to derive (K>A),1,1,15.588999999999999,142.166,,4,0,1,0
gitopali,,749,1,1,0,0,1,(S+B),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1.1.0,3,Try to derive -D>S,1,1,20.372,20.372,,6,27,0,0
gitopali,,757,7,7,0,0,1,(-S>D),4,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6.1.1.0,3,Try to derive -D>S,1,1,17.201,57.674,,6,27,0,0
gitopali,,761,10,10,0,0,1,(S>G),5,0,4,0,1,0,0,0,0,0,5,0,4,0,1,0,0,0,0,0,6.1.1.0,3,Try to derive -D>S,1,1,1532.708,1604.54,,6,27,0,0
gitopali,,768,14,14,0,0,1,(-S+G),7,0,6,0,1,0,0,0,0,0,7,0,6,0,1,0,0,0,0,0,6.1.1.0,3,Try to derive -D>S,1,1,45.039999999999964,1786.37,,6,27,0,0
gitopali,,222,1,1,0,0,1,((I*Q)>D),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.-1.3.0,3,Try to derive I*Q,1,1,193.033,193.033,,7,2,0,1
gitopali,,260,22,22,0,0,1,((I*Q)>D),12,3,6,0,0,1,0,0,0,0,12,3,6,0,0,1,0,0,0,0,3.-1.3.0,3,Try to derive I*Q,1,1,19.975000000000023,495.37,,7,2,0,1
